Company,Home,About,Posts,Jobs,People,Insights
PayPal,PayPal - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Product launch: Secure Cloud Data Platform now available.,Product Manager (London),Data not available,Achieved $10B revenue milestone last quarter.
Twitter,Twitter - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Now hiring talented engineers worldwide!,Product Manager (London),36647 employees,Selected by UN for global AI ethics initiative.
Stripe,Stripe - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Product launch: Secure Cloud Data Platform now available.,,Data not available,Ranked Top 10 for patent filings in AI technology (2025).
NVIDIA,NVIDIA - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Announcing new AI-powered features for better customer engagement.,,43309 employees,Selected by UN for global AI ethics initiative.
Qualcomm,Qualcomm - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,Marketing Lead (Berlin),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Cisco,Cisco - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Product Manager (London),Data not available,Achieved $10B revenue milestone last quarter.
LinkedIn,LinkedIn - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,Product Manager (London),83051 employees,Featured in Fortune 100 companies driving digital transformation.
Dell,Dell - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Sustainability initiatives: Our carbon-neutral goal for 2026.,Marketing Lead (Berlin),23975 employees,Featured in Fortune 100 companies driving digital transformation.
HP,HP - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Announcing new AI-powered features for better customer engagement.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Achieved $10B revenue milestone last quarter.
Zoom,Zoom - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Announcing new AI-powered features for better customer engagement.,Product Manager (London),Data not available,Recognized for best-in-class workplace diversity and inclusion.
Square,Square - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,DevOps Engineer (Toronto),149472 employees,Featured in Fortune 100 companies driving digital transformation.
Red Hat,Red Hat - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,,"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
VMware,VMware - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Announcing new AI-powered features for better customer engagement.,Product Manager (London),39356 employees,Featured in Fortune 100 companies driving digital transformation.
Accenture,Accenture - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Our founder will speak at Tech World Expo next week.,Software Engineer (Remote),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
TCS,TCS - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,,Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Infosys,Infosys - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Product launch: Secure Cloud Data Platform now available.,Marketing Lead (Berlin),181812 employees,Recognized for best-in-class workplace diversity and inclusion.
Wipro,Wipro - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,,44191 employees,Recognized for best-in-class workplace diversity and inclusion.
Capgemini,Capgemini - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Sustainability initiatives: Our carbon-neutral goal for 2026.,Software Engineer (Remote),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Cognizant,Cognizant - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Our founder will speak at Tech World Expo next week.,,Data not available,Achieved $10B revenue milestone last quarter.
Dropbox,Dropbox - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Sustainability initiatives: Our carbon-neutral goal for 2026.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Slack,Slack - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,UX Designer (New York),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Pinterest,Pinterest - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,Product Manager (London),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
Snap,Snap - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
GitHub,GitHub - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,DevOps Engineer (Toronto),76968 employees,Featured in Fortune 100 companies driving digital transformation.
GitLab,GitLab - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Sustainability initiatives: Our carbon-neutral goal for 2026.,UX Designer (New York),Data not available,Featured in Fortune 100 companies driving digital transformation.
Bitbucket,Bitbucket - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Product launch: Secure Cloud Data Platform now available.,Software Engineer (Remote),Data not available,Recognized for best-in-class workplace diversity and inclusion.
Atlassian,Atlassian - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Announcing new AI-powered features for better customer engagement.,Marketing Lead (Berlin),Data not available,Recognized for best-in-class workplace diversity and inclusion.
Cloudflare,Cloudflare - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Product launch: Secure Cloud Data Platform now available.,Data Scientist (San Francisco),138217 employees,Recognized for best-in-class workplace diversity and inclusion.
MongoDB,MongoDB - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Awarded 'Best Employer' in tech sector for 2025.,,166614 employees,Selected by UN for global AI ethics initiative.
Databricks,Databricks - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,Software Engineer (Remote),"Over 10,000 staff worldwide",Achieved $10B revenue milestone last quarter.
Palantir,Palantir - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Sustainability initiatives: Our carbon-neutral goal for 2026.,Software Engineer (Remote),180026 employees,Selected by UN for global AI ethics initiative.
Okta,Okta - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,Data Scientist (San Francisco),Data not available,Achieved $10B revenue milestone last quarter.
ServiceNow,ServiceNow - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,DevOps Engineer (Toronto),Data not available,Selected by UN for global AI ethics initiative.
Workday,Workday - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Announcing new AI-powered features for better customer engagement.,Data Scientist (San Francisco),"Over 10,000 staff worldwide",Achieved $10B revenue milestone last quarter.
Twilio,Twilio - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,Software Engineer (Remote),164691 employees,Achieved $10B revenue milestone last quarter.
DocuSign,DocuSign - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Now hiring talented engineers worldwide!,Marketing Lead (Berlin),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Shopify,Shopify - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Awarded 'Best Employer' in tech sector for 2025.,Data Scientist (San Francisco),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Etsy,Etsy - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Announcing new AI-powered features for better customer engagement.,,142427 employees,Selected by UN for global AI ethics initiative.
DoorDash,DoorDash - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Sustainability initiatives: Our carbon-neutral goal for 2026.,Product Manager (London),Data not available,Achieved $10B revenue milestone last quarter.
Gojek,Gojek - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Our founder will speak at Tech World Expo next week.,,185906 employees,Featured in Fortune 100 companies driving digital transformation.
Grab,Grab - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Sustainability initiatives: Our carbon-neutral goal for 2026.,Software Engineer (Remote),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Flipkart,Flipkart - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,UX Designer (New York),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
Xiaomi,Xiaomi - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Awarded 'Best Employer' in tech sector for 2025.,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
Huawei,Huawei - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Software Engineer (Remote),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
Samsung,Samsung - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Now hiring talented engineers worldwide!,,54480 employees,Achieved $10B revenue milestone last quarter.
LG,LG - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Our founder will speak at Tech World Expo next week.,Product Manager (London),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Sony,Sony - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Awarded 'Best Employer' in tech sector for 2025.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Ericsson,Ericsson - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Announcing new AI-powered features for better customer engagement.,Software Engineer (Remote),190500 employees,Achieved $10B revenue milestone last quarter.
Seagate,Seagate - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Our founder will speak at Tech World Expo next week.,,70590 employees,Selected by UN for global AI ethics initiative.
Western Digital,Western Digital - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Awarded 'Best Employer' in tech sector for 2025.,Product Manager (London),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Acer,Acer - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,DevOps Engineer (Toronto),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Asus,Asus - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Marketing Lead (Berlin),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Lenovo,Lenovo - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Announcing new AI-powered features for better customer engagement.,Software Engineer (Remote),58439 employees,Ranked Top 10 for patent filings in AI technology (2025).
Yandex,Yandex - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,Product Manager (London),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Baidu,Baidu - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Awarded 'Best Employer' in tech sector for 2025.,Product Manager (London),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Tencent,Tencent - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Sustainability initiatives: Our carbon-neutral goal for 2026.,DevOps Engineer (Toronto),44634 employees,Featured in Fortune 100 companies driving digital transformation.
Alibaba,Alibaba - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,DevOps Engineer (Toronto),Data not available,Featured in Fortune 100 companies driving digital transformation.
JD.com,JD.com - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
Rakuten,Rakuten - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,,Data not available,Recognized for best-in-class workplace diversity and inclusion.
Naver,Naver - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
ByteDance,ByteDance - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,Product Manager (London),Data not available,Featured in Fortune 100 companies driving digital transformation.
Meituan,Meituan - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Sustainability initiatives: Our carbon-neutral goal for 2026.,Data Scientist (San Francisco),Data not available,Featured in Fortune 100 companies driving digital transformation.
Didi,Didi - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,DevOps Engineer (Toronto),79571 employees,Featured in Fortune 100 companies driving digital transformation.
Robinhood,Robinhood - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Awarded 'Best Employer' in tech sector for 2025.,,113226 employees,Selected by UN for global AI ethics initiative.
Coinbase,Coinbase - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,UX Designer (New York),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Binance,Binance - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Announcing new AI-powered features for better customer engagement.,,Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Plaid,Plaid - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,Data Scientist (San Francisco),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
SoFi,SoFi - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Awarded 'Best Employer' in tech sector for 2025.,Product Manager (London),167816 employees,Selected by UN for global AI ethics initiative.
Stripe,Stripe - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Awarded 'Best Employer' in tech sector for 2025.,DevOps Engineer (Toronto),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Square,Square - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,DevOps Engineer (Toronto),"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Ant Financial,Ant Financial - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Our founder will speak at Tech World Expo next week.,,Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Revolut,Revolut - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,UX Designer (New York),"Over 10,000 staff worldwide",Achieved $10B revenue milestone last quarter.
Wise,Wise - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Our founder will speak at Tech World Expo next week.,Marketing Lead (Berlin),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Expedia,Expedia - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Sustainability initiatives: Our carbon-neutral goal for 2026.,Product Manager (London),143807 employees,Achieved $10B revenue milestone last quarter.
Booking.com,Booking.com - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Sustainability initiatives: Our carbon-neutral goal for 2026.,Product Manager (London),141612 employees,Featured in Fortune 100 companies driving digital transformation.
TripAdvisor,TripAdvisor - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Our founder will speak at Tech World Expo next week.,Software Engineer (Remote),137942 employees,Recognized for best-in-class workplace diversity and inclusion.
KAYAK,KAYAK - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Awarded 'Best Employer' in tech sector for 2025.,Marketing Lead (Berlin),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Trivago,Trivago - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Sustainability initiatives: Our carbon-neutral goal for 2026.,UX Designer (New York),141727 employees,Featured in Fortune 100 companies driving digital transformation.
Slack,Slack - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
Zendesk,Zendesk - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Now hiring talented engineers worldwide!,Software Engineer (Remote),Data not available,Selected by UN for global AI ethics initiative.
Freshworks,Freshworks - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Sustainability initiatives: Our carbon-neutral goal for 2026.,,"Over 10,000 staff worldwide",Recognized for best-in-class workplace diversity and inclusion.
Hootsuite,Hootsuite - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,DevOps Engineer (Toronto),65316 employees,Ranked Top 10 for patent filings in AI technology (2025).
Buffer,Buffer - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,Data Scientist (San Francisco),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Mailchimp,Mailchimp - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
HubSpot,HubSpot - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Marketing Lead (Berlin),Data not available,Ranked Top 10 for patent filings in AI technology (2025).
Marketo,Marketo - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Data Scientist (San Francisco),Data not available,Recognized for best-in-class workplace diversity and inclusion.
Sprout Social,Sprout Social - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Our founder will speak at Tech World Expo next week.,UX Designer (New York),147357 employees,Ranked Top 10 for patent filings in AI technology (2025).
Intercom,Intercom - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Now hiring talented engineers worldwide!,Software Engineer (Remote),Data not available,Selected by UN for global AI ethics initiative.
SurveyMonkey,SurveyMonkey - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Our founder will speak at Tech World Expo next week.,Product Manager (London),"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
Typeform,Typeform - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Now hiring talented engineers worldwide!,,Data not available,Featured in Fortune 100 companies driving digital transformation.
Calendly,Calendly - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Now hiring talented engineers worldwide!,DevOps Engineer (Toronto),61851 employees,Selected by UN for global AI ethics initiative.
ZoomInfo,ZoomInfo - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Our founder will speak at Tech World Expo next week.,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
Morningstar,Morningstar - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Product launch: Secure Cloud Data Platform now available.,UX Designer (New York),Data not available,Achieved $10B revenue milestone last quarter.
Bloomberg,Bloomberg - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,DevOps Engineer (Toronto),Data not available,Selected by UN for global AI ethics initiative.
Reuters,Reuters - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,,Data not available,Achieved $10B revenue milestone last quarter.
S&P Global,S&P Global - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,Marketing Lead (Berlin),144570 employees,Achieved $10B revenue milestone last quarter.
Moody's,Moody's - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Our founder will speak at Tech World Expo next week.,,82439 employees,Ranked Top 10 for patent filings in AI technology (2025).
CB Insights,CB Insights - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,Marketing Lead (Berlin),20472 employees,Recognized for best-in-class workplace diversity and inclusion.
Crunchbase,Crunchbase - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,UX Designer (New York),Data not available,Recognized for best-in-class workplace diversity and inclusion.
PitchBook,PitchBook - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Now hiring talented engineers worldwide!,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
OpenAI,OpenAI - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Our founder will speak at Tech World Expo next week.,UX Designer (New York),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
DeepMind,DeepMind - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Sustainability initiatives: Our carbon-neutral goal for 2026.,,Data not available,Featured in Fortune 100 companies driving digital transformation.
